epoch,acc,loss,val_acc,val_loss
0,0.029166666696468987,4.4550401541392,0.039500000014901164,3.8868204040527345
1,0.043166666666666666,3.88803644879659,0.05550000005960464,3.8545041484832763
2,0.05649999998013178,3.845556171417236,0.06700000005960464,3.8251865425109863
3,0.06466666668653488,3.8103170642852784,0.07150000002980232,3.7662948150634765
4,0.06850000001986821,3.7618482036590577,0.09350000005960464,3.728124071121216
5,0.08983333335320155,3.6843197364807128,0.11350000011920928,3.5995964698791503
6,0.09716666660706202,3.607912307103475,0.13399999976158142,3.4882888469696045
7,0.11850000011920929,3.4806087849934895,0.1539999997615814,3.3817003974914552
8,0.14616666666666667,3.338412021636963,0.2095,3.193119213104248
9,0.16149999988079072,3.2157961463928224,0.2064999998807907,3.025789140701294
10,0.1798333332935969,3.095169448216756,0.23400000023841858,2.8644191455841064
11,0.19950000007947286,3.001442295074463,0.25650000047683713,2.824716449737549
12,0.20550000007947286,2.912671106338501,0.28700000047683716,2.671368267059326
13,0.227,2.820269807179769,0.3095,2.5876641788482666
14,0.26183333321412405,2.707434336344401,0.34500000047683715,2.4808956260681154
15,0.2716666668256124,2.6409761746724447,0.36949999976158143,2.4588306312561037
16,0.2859999997615814,2.5966595039367677,0.37149999976158143,2.3697421836853025
17,0.2974999999205271,2.5473775424957275,0.3790000004768372,2.2958909492492676
18,0.31749999976158144,2.446830675125122,0.40800000047683715,2.191247486114502
19,0.3405000001589457,2.342002139409383,0.3990000002384186,2.2070512542724607
20,0.34533333317438764,2.306302501042684,0.421,2.0608499183654785
21,0.3718333335717519,2.24146968460083,0.431,1.9958940334320068
22,0.3770000001589457,2.1682899055480958,0.43800000023841856,2.00327844619751
23,0.39250000007947283,2.121244696935018,0.4775,1.8993783788681031
24,0.40966666674613955,2.0389300371805827,0.486,1.8489488534927367
25,0.41050000007947285,2.0626375001271566,0.48550000047683717,1.8261602191925048
26,0.42383333325386047,1.970726648012797,0.4969999990463257,1.7850623712539673
27,0.4483333333333333,1.8948854401906332,0.5,1.7431529836654662
28,0.45433333309491475,1.8766296599706014,0.5130000004768371,1.6866164608001708
29,0.4571666661898295,1.8635529301961262,0.5175,1.6658841075897217
30,0.46783333325386045,1.7926131032307944,0.5354999990463257,1.6719119205474853
31,0.4730000001589457,1.7825566263198853,0.5515000009536744,1.6018131771087647
32,0.4826666668256124,1.759048199335734,0.5530000004768372,1.5618008089065551
33,0.4903333330949148,1.6986723731358846,0.5625000009536744,1.5463634300231934
34,0.49533333309491473,1.6750406866073608,0.5625000009536744,1.5189609928131103
35,0.5031666669050853,1.6395501635869345,0.5470000009536743,1.535716643333435
36,0.5151666668256124,1.6371461572647095,0.5730000009536743,1.477745270729065
37,0.5041666666666667,1.6393125638961792,0.5584999995231629,1.5917642259597777
38,0.5200000001589458,1.5856582651138305,0.5769999990463257,1.4384371356964112
39,0.5353333336512248,1.5123025360107423,0.6010000009536743,1.3843350496292115
